Ngay,Gia_target,outlier_flag,target_lag1,target_lag2,target_lag3,target_ret_lag1,MA5,MA10,std5,dayofweek,month,london_vnd_kg_lag1,usdvnd_lag1,diesel,diesel_chg_1m,diesel_chg_3m,rain_90d,oni,waterbal_90d,Luong_lag1m,dongia_lag1m,dongia_ret_lag1m,area_tn,prod_tn,yield_tn,tonkho_tan
2023-04-11,50166.5,0,49766.5,49566.5,49766.5,0.004034983305256645,49506.5,48816.5,328.6335345030184,1,4,52880.64,23440.0,20140,-0.005432098765432,-0.0688858067498844,43.660000098000005,-0.29,-381.547727382,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-04-12,50516.5,0,50166.5,49766.5,49566.5,0.008037535289803444,49746.5,49001.5,268.3281572998752,2,4,54462.735,23445.0,20140,-0.005432098765432,-0.0688858067498844,42.100000136,-0.29,-384.935913264,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-04-13,50666.5,0,50516.5,50166.5,49766.5,0.006976767364675673,49956.5,49261.5,381.44462245514296,3,4,54666.744,23442.0,20140,-0.005432098765432,-0.0688858067498844,40.760000116,-0.29,-388.51331522400005,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-04-14,50266.5,0,50666.5,50516.5,50166.5,0.0029693268536021833,50136.5,49551.5,471.16875957553316,4,4,55834.08,23440.0,20140,-0.005432098765432,-0.0688858067498844,42.540000196,-0.29,-387.420844204,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-04-17,50116.5,0,50266.5,50666.5,50516.5,-0.007894762811719747,50276.5,49771.5,347.13109915411866,0,4,54943.36,23440.0,20140,-0.005432098765432,-0.0688858067498844,57.560000376,-0.29,-372.466139704,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-04-18,50416.5,0,50116.5,50266.5,50666.5,-0.0029840947748500657,50346.5,49926.5,236.11437906223875,1,4,55659.45,23485.0,20140,-0.005432098765432,-0.0688858067498844,58.800000376,-0.29,-372.724154184,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-04-19,50766.5,0,50416.5,50116.5,50266.5,0.005986052497680472,50396.5,50071.5,213.89249636194947,2,4,55918.395,23505.0,20140,-0.005432098765432,-0.0688858067498844,60.540000396,-0.29,-372.611688264,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-04-20,50716.5,0,50766.5,50416.5,50116.5,0.006942171709658496,50446.5,50201.5,270.6473720543884,3,4,56097.246,23511.0,20140,-0.005432098765432,-0.0688858067498844,65.320000216,-0.29,-369.110491624,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-04-21,50666.5,0,50716.5,50766.5,50416.5,-0.0009849014606088113,50456.5,50296.5,281.51376520509007,4,4,55760.512,23488.0,19390,0.0046632124352332,-0.1035598705501618,68.400000216,-0.29,-367.25811524400007,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-04-24,51066.5,0,50666.5,50716.5,50766.5,-0.0009858724478226666,50536.5,50406.5,270.6473720543884,0,4,55941.27,23485.0,19390,0.0046632124352332,-0.1035598705501618,68.80000019799999,-0.29,-371.2944572020001,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
