Ngay,diesel,diesel_chg_1m,diesel_chg_3m
2021-05-25,14770,0.044554455445544594,0.13266871165644178
2021-05-26,14770,0.044554455445544594,0.13266871165644178
2021-05-27,14770,0.03142458100558665,0.06719653179190743
2021-05-28,14770,0.03142458100558665,0.06719653179190743
2021-05-31,14770,0.03142458100558665,0.06719653179190743
2021-06-01,14770,0.03142458100558665,0.06719653179190743
2021-06-02,14770,0.03142458100558665,0.06719653179190743
2021-06-03,14770,0.03142458100558665,0.06719653179190743
2021-06-04,14770,0.03142458100558665,0.06719653179190743
2021-06-07,14770,0.03142458100558665,0.06719653179190743
2021-06-08,14770,0.03142458100558665,0.06719653179190743
2021-06-09,14770,0.03142458100558665,0.06719653179190743
2021-06-10,14770,0.03142458100558665,0.06719653179190743
2021-06-11,15440,0.07821229050279332,0.11560693641618491
2021-06-14,15440,0.07821229050279332,0.11560693641618491
2021-06-15,15440,0.07821229050279332,0.11560693641618491
2021-06-16,15440,0.07821229050279332,0.11560693641618491
2021-06-17,15440,0.07821229050279332,0.11560693641618491
2021-06-18,15440,0.07821229050279332,0.11560693641618491
2021-06-21,15440,0.07821229050279332,0.11560693641618491
2021-06-22,15440,0.07821229050279332,0.11560693641618491
2021-06-23,15440,0.07821229050279332,0.11560693641618491
2021-06-24,15440,0.07821229050279332,0.11560693641618491
2021-06-25,15440,0.07821229050279332,0.11560693641618491
2021-06-28,16110,0.09072444143534186,0.11874999999999991
2021-06-29,16110,0.09072444143534186,0.11874999999999991
2021-06-30,16110,0.09072444143534186,0.11874999999999991
2021-07-01,16110,0.09072444143534186,0.11874999999999991
2021-07-02,16110,0.09072444143534186,0.11874999999999991
2021-07-05,16110,0.09072444143534186,0.11874999999999991
2021-07-06,16110,0.09072444143534186,0.11874999999999991
2021-07-07,16110,0.09072444143534186,0.11874999999999991
2021-07-08,16110,0.09072444143534186,0.11874999999999991
2021-07-09,16110,0.09072444143534186,0.11874999999999991
2021-07-12,16530,0.07059585492227982,0.16902404526166892
2021-07-13,16530,0.07059585492227982,0.16902404526166892
2021-07-14,16530,0.07059585492227982,0.16902404526166892
2021-07-15,16530,0.07059585492227982,0.16902404526166892
2021-07-16,16530,0.07059585492227982,0.16902404526166892
2021-07-19,16530,0.07059585492227982,0.16902404526166892
2021-07-20,16530,0.07059585492227982,0.16902404526166892
2021-07-21,16530,0.07059585492227982,0.16902404526166892
2021-07-22,16530,0.07059585492227982,0.16902404526166892
2021-07-23,16530,0.07059585492227982,0.16902404526166892
2021-07-26,16530,0.07059585492227982,0.16902404526166892
2021-07-27,16370,0.01613904407200506,0.14315642458100553
2021-07-28,16370,0.01613904407200506,0.14315642458100553
2021-07-29,16370,0.01613904407200506,0.14315642458100553
2021-07-30,16370,0.01613904407200506,0.14315642458100553
2021-08-02,16370,0.01613904407200506,0.14315642458100553
2021-08-03,16370,0.01613904407200506,0.14315642458100553
2021-08-04,16370,0.01613904407200506,0.14315642458100553
2021-08-05,16370,0.01613904407200506,0.14315642458100553
2021-08-06,16370,0.01613904407200506,0.14315642458100553
2021-08-09,16370,0.01613904407200506,0.14315642458100553
2021-08-10,16370,0.01613904407200506,0.14315642458100553
2021-08-11,16170,0.003724394785847407,0.12918994413407825
2021-08-12,16170,0.003724394785847407,0.12918994413407825
2021-08-13,16170,0.003724394785847407,0.12918994413407825
2021-08-16,16170,0.003724394785847407,0.12918994413407825
2021-08-17,16170,0.003724394785847407,0.12918994413407825
2021-08-18,16170,0.003724394785847407,0.12918994413407825
2021-08-19,16170,0.003724394785847407,0.12918994413407825
2021-08-20,16170,0.003724394785847407,0.12918994413407825
2021-08-23,16170,0.003724394785847407,0.12918994413407825
2021-08-24,16170,0.003724394785847407,0.12918994413407825
2021-08-25,16170,0.003724394785847407,0.12918994413407825
2021-08-26,15660,-0.052631578947368474,0.060257278266756975
2021-08-27,15660,-0.052631578947368474,0.060257278266756975
2021-08-30,15660,-0.052631578947368474,0.060257278266756975
2021-08-31,15660,-0.052631578947368474,0.060257278266756975
2021-09-01,15660,-0.052631578947368474,0.060257278266756975
2021-09-02,15660,-0.052631578947368474,0.060257278266756975
2021-09-03,15660,-0.052631578947368474,0.060257278266756975
2021-09-06,15660,-0.052631578947368474,0.060257278266756975
2021-09-07,15660,-0.052631578947368474,0.060257278266756975
2021-09-08,15660,-0.052631578947368474,0.060257278266756975
2021-09-09,15660,-0.052631578947368474,0.060257278266756975
2021-09-10,16020,-0.02138057422113626,0.08463100880162489
2021-09-13,16020,-0.02138057422113626,0.08463100880162489
2021-09-14,16020,-0.02138057422113626,0.08463100880162489
2021-09-15,16020,-0.02138057422113626,0.08463100880162489
2021-09-16,16020,-0.02138057422113626,0.08463100880162489
2021-09-17,16020,-0.02138057422113626,0.08463100880162489
2021-09-20,16020,-0.02138057422113626,0.08463100880162489
2021-09-21,16020,-0.02138057422113626,0.08463100880162489
2021-09-22,16020,-0.02138057422113626,0.08463100880162489
2021-09-23,16020,-0.02138057422113626,0.08463100880162489
2021-09-24,16020,-0.02138057422113626,0.08463100880162489
2021-09-27,16580,0.02535559678416832,0.07383419689119175
2021-09-28,16580,0.02535559678416832,0.07383419689119175
2021-09-29,16580,0.02535559678416832,0.07383419689119175
2021-09-30,16580,0.02535559678416832,0.07383419689119175
2021-10-01,16580,0.02535559678416832,0.07383419689119175
2021-10-04,16580,0.02535559678416832,0.07383419689119175
2021-10-05,16580,0.02535559678416832,0.07383419689119175
2021-10-06,16580,0.02535559678416832,0.07383419689119175
2021-10-07,16580,0.02535559678416832,0.07383419689119175
2021-10-08,16580,0.02535559678416832,0.07383419689119175
2021-10-11,17540,0.09488139825218478,0.08876474239602739
2021-10-12,17540,0.09488139825218478,0.08876474239602739
2021-10-13,17540,0.09488139825218478,0.08876474239602739
2021-10-14,17540,0.09488139825218478,0.08876474239602739
2021-10-15,17540,0.09488139825218478,0.08876474239602739
2021-10-18,17540,0.09488139825218478,0.08876474239602739
2021-10-19,17540,0.09488139825218478,0.08876474239602739
2021-10-20,17540,0.09488139825218478,0.08876474239602739
2021-10-21,17540,0.09488139825218478,0.08876474239602739
2021-10-22,17540,0.09488139825218478,0.08876474239602739
2021-10-25,17540,0.09488139825218478,0.08876474239602739
2021-10-26,18710,0.1284680337756332,0.13188142770719913
2021-10-27,18710,0.1284680337756332,0.13188142770719913
2021-10-28,18710,0.1284680337756332,0.13188142770719913
2021-10-29,18710,0.1284680337756332,0.13188142770719913
2021-11-01,18710,0.1284680337756332,0.13188142770719913
2021-11-02,18710,0.1284680337756332,0.13188142770719913
2021-11-03,18710,0.1284680337756332,0.13188142770719913
2021-11-04,18710,0.1284680337756332,0.13188142770719913
2021-11-05,18710,0.1284680337756332,0.13188142770719913
2021-11-08,18710,0.1284680337756332,0.13188142770719913
2021-11-09,18710,0.1284680337756332,0.13188142770719913
2021-11-10,18710,0.1284680337756332,0.142944410507025
2021-11-11,18710,0.1284680337756332,0.142944410507025
2021-11-12,18710,0.1284680337756332,0.142944410507025
2021-11-15,18710,0.1284680337756332,0.142944410507025
2021-11-16,18710,0.1284680337756332,0.142944410507025
2021-11-17,18710,0.1284680337756332,0.142944410507025
2021-11-18,18710,0.1284680337756332,0.142944410507025
2021-11-19,18710,0.1284680337756332,0.142944410507025
2021-11-22,18710,0.1284680337756332,0.142944410507025
2021-11-23,18710,0.1284680337756332,0.142944410507025
2021-11-24,18710,0.1284680337756332,0.142944410507025
2021-11-25,18380,0.047890535917902044,0.1366728509585653
2021-11-26,18380,0.047890535917902044,0.1366728509585653
2021-11-29,18380,0.047890535917902044,0.1366728509585653
2021-11-30,18380,0.047890535917902044,0.1366728509585653
2021-12-01,18380,0.047890535917902044,0.1366728509585653
2021-12-02,18380,0.047890535917902044,0.1366728509585653
2021-12-03,18380,0.047890535917902044,0.1366728509585653
2021-12-06,18380,0.047890535917902044,0.1366728509585653
2021-12-07,18380,0.047890535917902044,0.1366728509585653
2021-12-08,18380,0.047890535917902044,0.1366728509585653
2021-12-09,18380,0.047890535917902044,0.1366728509585653
2021-12-10,17330,-0.073757349011224,0.08177278401997512
2021-12-13,17330,-0.073757349011224,0.08177278401997512
2021-12-14,17330,-0.073757349011224,0.08177278401997512
2021-12-15,17330,-0.073757349011224,0.08177278401997512
2021-12-16,17330,-0.073757349011224,0.08177278401997512
2021-12-17,17330,-0.073757349011224,0.08177278401997512
2021-12-20,17330,-0.073757349011224,0.08177278401997512
2021-12-21,17330,-0.073757349011224,0.08177278401997512
2021-12-22,17330,-0.073757349011224,0.08177278401997512
2021-12-23,17330,-0.073757349011224,0.08177278401997512
2021-12-24,17330,-0.073757349011224,0.08177278401997512
2021-12-27,17570,-0.04406964091403698,0.05971049457177324
2021-12-28,17570,-0.04406964091403698,0.05971049457177324
2021-12-29,17570,-0.04406964091403698,0.05971049457177324
2021-12-30,17570,-0.04406964091403698,0.05971049457177324
2021-12-31,17570,-0.04406964091403698,0.05971049457177324
2022-01-03,17570,-0.04406964091403698,0.05971049457177324
2022-01-04,17570,-0.04406964091403698,0.05971049457177324
2022-01-05,17570,-0.04406964091403698,0.05971049457177324
2022-01-06,17570,-0.04406964091403698,0.05971049457177324
2022-01-07,17570,-0.04406964091403698,0.05971049457177324
2022-01-10,17570,-0.04406964091403698,0.05971049457177324
2022-01-11,18230,0.05193306405077891,0.03933865450399088
2022-01-12,18230,0.05193306405077891,0.03933865450399088
2022-01-13,18230,0.05193306405077891,0.03933865450399088
2022-01-14,18230,0.05193306405077891,0.03933865450399088
2022-01-17,18230,0.05193306405077891,0.03933865450399088
