Ngay,available_from,rain_30d,rain_90d,rain_90d_anom,waterbal_90d,tmax_30d,hot_days_30d,oni,oni_chg_3m,enso
2022-01-27,2022-01-27,9.140000358,187.400002966,-44.312125820967935,-122.205619896,26.459333333333333,0.0,-0.91,-0.46,-1
2022-01-28,2022-01-28,8.900000358,185.140003016,-46.572125770967915,-125.56294638600002,26.590666666666667,0.0,-0.91,-0.46,-1
2022-01-31,2022-01-31,11.300000418,180.020003016,-51.69212577096792,-132.289930486,27.037,0.0,-0.91,-0.46,-1
2022-02-01,2022-02-01,11.500000438,180.14000303600002,78.76023855319767,-132.799582146,27.15,0.0,-0.87,-0.24,-1
2022-02-02,2022-02-02,11.500000438,179.260003036,77.88023855319764,-134.465939446,27.289,0.0,-0.87,-0.24,-1
2022-02-03,2022-02-03,9.040000238000001,178.480003056,77.10023857319763,-136.13473580600004,27.379,0.0,-0.87,-0.24,-1
2022-02-04,2022-02-04,7.700000198,177.440003096,76.06023861319764,-137.542228146,27.378,0.0,-0.87,-0.24,-1
2022-02-07,2022-02-07,7.700000188,173.18000313599998,71.80023865319762,-143.81509016600003,27.422000000000004,0.0,-0.87,-0.24,-1
2022-02-08,2022-02-08,7.0200001379999994,164.520002716,63.140238233197636,-154.598698946,27.514999999999997,0.0,-0.87,-0.24,-1
2022-02-09,2022-02-09,7.140000128,153.20000270600002,51.82023822319766,-169.339311726,27.579333333333334,0.0,-0.87,-0.24,-1
2022-02-10,2022-02-10,7.780000136,145.780002694,44.40023821119763,-178.966344738,27.660666666666664,0.0,-0.87,-0.24,-1
2022-02-11,2022-02-11,7.8000001359999995,138.12000277400003,36.74023829119767,-188.81648857800002,27.752000000000002,0.0,-0.87,-0.24,-1
2022-02-14,2022-02-14,15.740000135999999,121.34000142400001,19.96023694119765,-210.76549536800002,28.055999999999997,0.0,-0.87,-0.24,-1
2022-02-15,2022-02-15,16.860000096,119.900001394,18.520236911197642,-212.99568735800003,28.092,0.0,-0.87,-0.24,-1
2022-02-16,2022-02-16,20.080000156,120.840001654,19.460237171197647,-212.64085147800003,28.127666666666666,0.0,-0.87,-0.24,-1
2022-02-17,2022-02-17,24.100000376,124.060001874,22.680237391197636,-209.614303818,28.193666666666665,0.0,-0.87,-0.24,-1
2022-02-18,2022-02-18,26.380000316,120.86000141400001,19.480236931197652,-213.68417817800002,28.308333333333334,0.0,-0.87,-0.24,-1
2022-02-21,2022-02-21,35.700000436,126.72000157400001,25.34023709119765,-208.33900043800003,28.296,0.0,-0.87,-0.24,-1
2022-02-22,2022-02-22,35.960000435999994,127.180001574,25.800237091197644,-209.07505857800004,28.295666666666666,0.0,-0.87,-0.24,-1
2022-02-23,2022-02-23,35.280000408,127.060001574,25.68023709119764,-211.00266345800003,28.24233333333333,0.0,-0.87,-0.24,-1
2022-02-24,2022-02-24,34.440000387999994,126.800001574,25.42023709119765,-212.35226079800003,28.12633333333333,0.0,-0.87,-0.24,-1
2022-02-25,2022-02-25,34.440000387999994,112.160001954,10.780237471197637,-229.685032376,27.993,0.0,-0.87,-0.24,-1
2022-02-28,2022-02-28,34.720000387999995,64.660001094,-36.71976338880236,-286.09371730600003,27.864333333333335,0.0,-0.87,-0.24,-1
2022-03-01,2022-03-01,33.600000388,64.660001094,-3.3559673628172106,-287.683026986,27.913999999999998,0.0,-0.82,-0.05999999999999994,-1
2022-03-02,2022-03-02,33.080000328,65.340001094,-2.675967362817204,-288.52103178600004,27.948333333333334,0.0,-0.82,-0.05999999999999994,-1
2022-03-03,2022-03-03,33.080000308,65.540001094,-2.475967362817201,-290.202016166,27.995333333333335,0.0,-0.82,-0.05999999999999994,-1
2022-03-04,2022-03-04,33.480000307999994,65.960001094,-2.0559673628171993,-291.431232646,28.081666666666663,0.0,-0.82,-0.05999999999999994,-1
2022-03-07,2022-03-07,34.520000288,66.900001064,-1.1159673928172111,-296.837422616,28.493,0.0,-0.82,-0.05999999999999994,-1
2022-03-08,2022-03-08,34.540000288,66.820001064,-1.1959673928172094,-299.159608116,28.595666666666666,0.0,-0.82,-0.05999999999999994,-1
2022-03-09,2022-03-09,33.800000288,67.020001064,-0.9959673928172066,-300.746330676,28.63133333333333,0.0,-0.82,-0.05999999999999994,-1
2022-03-10,2022-03-10,33.180000288,67.020001064,-0.9959673928172066,-302.528765656,28.645666666666667,0.0,-0.82,-0.05999999999999994,-1
2022-03-11,2022-03-11,32.920000288000004,67.020001064,-0.9959673928172066,-305.126808856,28.677666666666667,0.0,-0.82,-0.05999999999999994,-1
2022-03-14,2022-03-14,37.1000003,72.440001084,4.424032627182797,-305.1205363760001,28.921666666666667,0.0,-0.82,-0.05999999999999994,-1
2022-03-15,2022-03-15,34.28000032,72.820001104,4.804032647182794,-306.600341076,29.00333333333333,0.0,-0.82,-0.05999999999999994,-1
2022-03-16,2022-03-16,30.46000032,72.860001104,4.8440326471828,-307.99827875600005,29.117333333333338,0.0,-0.82,-0.05999999999999994,-1
2022-03-17,2022-03-17,30.52000036,74.020001104,6.004032647182797,-308.081378616,29.25766666666667,0.0,-0.82,-0.05999999999999994,-1
2022-03-18,2022-03-18,35.28000004,81.700000836,13.684032379182796,-301.25358240400004,29.377333333333333,0.0,-0.82,-0.05999999999999994,-1
2022-03-21,2022-03-21,34.95999998,81.160000436,13.144031979182799,-306.85654120400005,29.554666666666666,0.0,-0.82,-0.05999999999999994,-1
2022-03-22,2022-03-22,43.45999998,91.600000556,23.584032099182792,-297.075906944,29.62333333333333,0.0,-0.82,-0.05999999999999994,-1
2022-03-23,2022-03-23,48.519999948,97.240000684,29.22403222718279,-292.126521296,29.708666666666666,0.0,-0.82,-0.05999999999999994,-1
2022-03-24,2022-03-24,52.239999878000006,101.100000624,33.0840321671828,-289.06791417600004,29.767999999999997,0.0,-0.82,-0.05999999999999994,-1
2022-03-25,2022-03-25,54.519999778,101.600000524,33.58403206718279,-289.61613817600005,29.86433333333333,0.0,-0.82,-0.05999999999999994,-1
