Ngay,Nam,Thang,available_from,Luong_nghin_tan,KimNgach_trieu_USD,DonGia_USD_tan,Luong_lag1m,DonGia_lag1m,DonGia_ret_lag1m
2019-11-01,2019,11,2019-12-06,112.9,196.26,1738.3525243578388,87.5,1800.8,-0.014086554422575337
2019-12-01,2019,12,2020-01-06,188.25,327.59,1740.1859229747677,112.9,1738.3525243578388,-0.03467762974353683
2020-01-01,2020,1,2020-02-06,145.11,246.56,1699.12480187444,188.25,1740.1859229747677,0.0010546759597027666
2020-02-01,2020,2,2020-03-06,173.79,293.0,1685.9428045342079,145.11,1699.12480187444,-0.023595824192242376
2020-03-01,2020,3,2020-04-06,92.82,164.41,1771.277741865977,173.79,1685.9428045342079,-0.007758110131574791
2020-04-01,2020,4,2020-05-06,165.8,279.84,1687.816646562123,92.82,1771.277741865977,0.050615558904055113
2020-05-01,2020,5,2020-06-06,130.29,220.59,1693.0693069306933,165.8,1687.816646562123,-0.04711914643941206
2020-06-01,2020,6,2020-07-06,127.7,217.69,1704.698512137823,130.29,1693.0693069306933,0.003112103663196697
2020-07-01,2020,7,2020-08-06,120.0,213.0,1775.0,127.7,1704.698512137823,0.006868711847485942
2020-08-01,2020,8,2020-09-06,100.0,184.35,1843.5,120.0,1775.0,0.04123983646469753
2020-09-01,2020,9,2020-10-06,99.74,188.0,1884.9007419290153,100.0,1843.5,0.038591549295774685
2020-10-01,2020,10,2020-11-06,91.38,168.73,1846.4653096957759,99.74,1884.9007419290153,0.022457684800116784
2020-11-01,2020,11,2020-12-06,83.73,161.13,1924.3998566821926,91.38,1846.4653096957759,-0.02039122346246436
2020-12-01,2020,12,2021-01-06,85.0,170.0,2000.0,83.73,1924.3998566821926,0.04220742549409562
2021-01-01,2021,1,2021-02-06,160.62,280.58,1746.8559332586228,85.0,2000.0,0.03928504933904309
2021-02-01,2021,2,2021-03-06,122.84,215.96,1758.0592640833604,160.62,1746.8559332586228,-0.12657203337068856
2021-03-01,2021,3,2021-04-06,169.63,312.07,1839.7099569651596,122.84,1758.0592640833604,0.006413425750478874
2021-04-01,2021,4,2021-05-06,132.12,246.39,1864.895549500454,169.63,1839.7099569651596,0.04644365212817281
2021-05-01,2021,5,2021-06-06,130.29,243.54,1869.2148284595903,132.12,1864.895549500454,0.013689980010132441
2021-06-01,2021,6,2021-07-06,128.04,248.6,1941.580756013746,130.29,1869.2148284595903,0.0023160969847846324
2021-07-01,2021,7,2021-08-06,122.3,235.06,1921.9950940310712,128.04,1941.580756013746,0.038714612388235814
2021-08-01,2021,8,2021-09-06,111.7,224.75,2012.085944494181,122.3,1921.9950940310712,-0.010087482543289172
2021-09-01,2021,9,2021-10-06,100.34,210.02,2093.0835160454453,111.7,2012.085944494181,0.046873611042450136
2021-10-01,2021,10,2021-11-06,91.62,200.51,2188.495961580441,100.34,2093.0835160454453,0.04025552276874844
2021-11-01,2021,11,2021-12-06,88.55,202.61,2288.085827216262,91.62,2188.495961580441,0.045584633772885796
2021-12-01,2021,12,2022-01-06,115.06,270.2,2348.339996523553,88.55,2288.085827216262,0.045506076951543184
2022-01-01,2022,1,2022-02-06,152.81,347.29,2272.6915777763234,115.06,2348.339996523553,0.02633387637412099
2022-02-01,2022,2,2022-03-06,106.45,255.27,2398.0272428370126,152.81,2272.6915777763234,-0.03221357165453831
2022-03-01,2022,3,2022-04-06,163.87,380.7,2323.183010923293,106.45,2398.0272428370126,0.0551485587777476
2022-04-01,2022,4,2022-05-06,133.73,313.66,2345.4722201450686,163.87,2323.183010923293,-0.031210751311221308
2022-05-01,2022,5,2022-06-06,125.64,288.04,2292.5819802610636,133.73,2345.4722201450686,0.009594254570980842
2022-06-01,2022,6,2022-07-06,120.37,276.75,2299.16092049514,125.64,2292.5819802610636,-0.022549932346132784
2022-07-01,2022,7,2022-08-06,105.69,242.15,2291.1344498060366,120.37,2299.16092049514,0.0028696641126557676
2022-08-01,2022,8,2022-09-06,100.4,236.77,2358.266932270916,105.69,2291.1344498060366,-0.0034910434574431104
2022-09-01,2022,9,2022-10-06,84.74,206.65,2438.635827236252,100.4,2358.266932270916,0.0293009790283425
2022-10-01,2022,10,2022-11-06,74.17,192.27,2592.2879870567613,84.74,2438.635827236252,0.0340796429214838
2022-11-01,2022,11,2022-12-06,110.36,264.48,2396.5204784342154,74.17,2592.2879870567613,0.06300742329150699
