Date,Price
2022-01-18,2195.0
2022-01-19,2225.0
2022-01-20,2227.0
2022-01-21,2213.0
2022-01-24,2197.0
2022-01-25,2237.0
2022-01-26,2191.0
2022-01-27,2174.0
2022-01-28,2184.0
2022-01-31,2172.0
2022-02-01,2176.0
2022-02-02,2198.0
2022-02-03,2220.0
2022-02-04,2213.0
2022-02-07,2218.0
2022-02-08,2234.0
2022-02-09,2259.0
2022-02-10,2263.0
2022-02-11,2270.0
2022-02-14,2243.0
2022-02-15,2265.0
2022-02-16,2274.0
2022-02-17,2274.0
2022-02-18,2255.0
2022-02-21,2234.0
2022-02-22,2260.0
2022-02-23,2234.0
2022-02-24,2179.0
2022-02-25,2178.0
2022-02-28,2090.0
2022-03-01,2084.0
2022-03-02,2030.0
2022-03-03,2013.0
2022-03-04,2038.0
2022-03-07,2035.0
2022-03-08,2094.0
2022-03-09,2117.0
2022-03-10,2093.0
2022-03-11,2095.0
2022-03-14,2115.0
2022-03-15,2081.0
2022-03-16,2148.0
2022-03-17,2139.0
2022-03-18,2167.0
2022-03-21,2175.0
2022-03-22,2170.0
2022-03-23,2139.0
2022-03-24,2136.0
2022-03-25,2148.0
2022-03-28,2124.0
2022-03-29,2115.0
2022-03-30,2140.0
2022-03-31,2152.0
2022-04-01,2130.0
2022-04-04,2122.0
2022-04-05,2110.0
2022-04-06,2090.0
2022-04-07,2066.0
2022-04-08,2096.0
2022-04-11,2117.0
2022-04-12,2111.0
2022-04-13,2105.0
2022-04-14,2099.0
2022-04-19,2088.0
2022-04-20,2092.0
2022-04-21,2114.0
2022-04-22,2116.0
2022-04-25,2066.0
2022-04-26,2054.0
2022-04-27,2032.0
2022-04-28,2089.0
2022-04-29,2107.0
2022-05-03,2115.0
2022-05-04,2137.0
2022-05-05,2136.0
2022-05-06,2083.0
2022-05-09,2020.0
2022-05-10,2009.0
2022-05-11,2078.0
2022-05-12,2058.0
2022-05-13,2040.0
2022-05-16,2087.0
2022-05-17,2104.0
2022-05-18,2063.0
2022-05-19,2080.0
2022-05-20,2056.0
2022-05-23,2041.0
2022-05-24,2043.0
2022-05-25,2088.0
2022-05-26,2109.0
2022-05-27,2096.0
2022-05-30,2106.0
2022-05-31,2110.0
2022-06-01,2139.0
2022-06-06,2140.0
2022-06-07,2121.0
2022-06-08,2117.0
2022-06-09,2108.0
2022-06-10,2095.0
2022-06-13,2055.0
2022-06-14,2053.0
2022-06-15,2055.0
2022-06-16,2104.0
2022-06-17,2079.0
2022-06-20,2077.0
2022-06-21,2101.0
2022-06-22,2113.0
2022-06-23,2086.0
2022-06-24,2044.0
2022-06-27,2040.0
2022-06-28,2017.0
2022-06-29,2049.0
2022-06-30,2033.0
2022-07-01,2006.0
2022-07-04,1999.0
2022-07-05,1961.0
2022-07-06,1955.0
2022-07-07,1944.0
2022-07-08,1981.0
2022-07-11,1966.0
2022-07-12,1954.0
2022-07-13,1981.0
2022-07-14,1930.0
2022-07-15,1923.0
2022-07-18,1992.0
2022-07-19,1998.0
2022-07-20,1998.0
2022-07-21,1987.0
2022-07-22,1962.0
2022-07-25,1973.0
2022-07-26,1974.0
2022-07-27,2007.0
2022-07-28,2014.0
2022-07-29,2028.0
2022-08-01,2028.0
2022-08-02,2020.0
2022-08-03,2023.0
2022-08-04,2041.0
2022-08-05,2042.0
2022-08-08,2074.0
2022-08-09,2100.0
2022-08-10,2149.0
2022-08-11,2223.0
2022-08-12,2261.0
2022-08-15,2265.0
2022-08-16,2228.0
2022-08-17,2224.0
2022-08-18,2218.0
2022-08-19,2226.0
2022-08-22,2243.0
2022-08-23,2258.0
2022-08-24,2348.0
2022-08-25,2312.0
2022-08-26,2279.0
2022-08-30,2261.0
2022-08-31,2250.0
2022-09-01,2228.0
2022-09-02,2223.0
2022-09-05,2217.0
2022-09-06,2262.0
2022-09-07,2238.0
2022-09-08,2276.0
2022-09-09,2264.0
2022-09-12,2263.0
2022-09-13,2239.0
2022-09-14,2230.0
2022-09-15,2226.0
2022-09-16,2202.0
2022-09-20,2236.0
2022-09-21,2226.0
2022-09-22,2238.0
2022-09-23,2232.0
2022-09-26,2204.0
2022-09-27,2178.0
2022-09-28,2198.0
2022-09-29,2175.0
