ngay_ky,gio,mat_hang,gia,chenh_lech
2022-12-01,,KO,23560,-1080
2022-12-01,,RON95,22700,-1080
2022-12-12,,"DO_0,05S",21670,-1540
2022-12-12,,E5_RON92,20340,-1330
2022-12-12,,KO,21900,-1660
2022-12-12,,RON95,21200,-1500
2022-12-21,,"DO_0,05S",21600,-70
2022-12-21,,E5_RON92,19970,-370
2022-12-21,,KO,21830,-70
2022-12-21,,RON95,20700,-500
2023-01-01,,"DO_0,05S",22150,550
2023-01-01,,E5_RON92,21020,1050
2023-01-01,,KO,22160,330
2023-01-01,,RON95,21800,1100
2023-01-03,,"DO_0,05S",22150,0
2023-01-03,,E5_RON92,21350,330
2023-01-03,,KO,22760,600
2023-01-03,,RON95,22150,350
2023-01-11,,"DO_0,05S",21630,-520
2023-01-11,,E5_RON92,21350,0
2023-01-11,,KO,21800,-960
2023-01-11,,RON95,22150,0
2023-01-30,,"DO_0,05S",22520,890
2023-01-30,,E5_RON92,22320,970
2023-01-30,,KO,22570,770
2023-01-30,,RON95,23140,990
2023-02-13,,"DO_0,05S",21560,-960
2023-02-13,,E5_RON92,22860,540
2023-02-13,,KO,21590,-980
2023-02-13,,RON95,23760,620
2023-02-21,,"DO_0,05S",20800,-760
2023-02-21,,E5_RON92,22540,-320
2023-02-21,,KO,20840,-750
2023-02-21,,RON95,23440,-320
2023-03-01,,"DO_0,05S",20250,-550
2023-03-01,,E5_RON92,22420,-120
2023-03-01,,KO,20470,-370
2023-03-01,,RON95,23320,-120
2023-03-13,,"DO_0,05S",20500,250
2023-03-13,,E5_RON92,22800,380
2023-03-13,,KO,20710,240
2023-03-13,,RON95,23810,490
2023-03-21,,"DO_0,05S",19300,-1200
2023-03-21,,E5_RON92,22020,-780
2023-03-21,,KO,19460,-1250
2023-03-21,,RON95,23030,-780
2023-04-03,,"DO_0,05S",19430,130
2023-04-03,,E5_RON92,22080,60
2023-04-03,,KO,19030,-430
2023-04-03,,RON95,23120,90
2023-04-11,,"DO_0,05S",20140,710
2023-04-11,,E5_RON92,23170,1090
2023-04-11,,KO,19730,700
2023-04-11,,RON95,24240,1120
2023-04-21,,"DO_0,05S",19390,-750
2023-04-21,,E5_RON92,22680,-490
2023-04-21,,KO,19480,-250
2023-04-21,,RON95,23630,-610
2023-05-04,,"DO_0,05S",18250,-1140
2023-05-04,,E5_RON92,21430,-1250
2023-05-04,,KO,18520,-960
2023-05-04,,RON95,22320,-1310
2023-05-11,,"DO_0,05S",17653,-597
2023-05-11,,E5_RON92,20131,-1299
2023-05-11,,KO,17972,-548
2023-05-11,,RON95,21000,-1320
2023-05-22,,"DO_0,05S",17954,301
2023-05-22,,E5_RON92,20488,357
2023-05-22,,FO,15158,296
2023-05-22,,KO,17969,-3
2023-05-22,,RON95,21499,499
2023-06-01,,"DO_0,05S",17943,-11
2023-06-01,,E5_RON92,20878,390
2023-06-01,,FO,14883,-275
2023-06-01,,KO,17771,-198
2023-06-01,,RON95,22015,516
2023-06-12,,"DO_0,05S",18028,85
2023-06-12,,E5_RON92,20878,0
2023-06-12,,FO,14719,-164
