date,Brent,DO_0001S,DO_005S,E5_RON92,FO_30S,FO_35S,FO_380,FO_other,RON92,RON95,RON95_IV,WTI,dau_hoa
2017-04-05,197.0,,13460.0,17030.0,11010.0,10610.0,10510.0,,17230.0,17930.0,18080.0,215.0,11980.0
2017-04-06,197.0,,13460.0,17030.0,11010.0,10610.0,10510.0,,17230.0,17930.0,18080.0,215.0,11980.0
2017-04-07,197.0,,13460.0,17030.0,11010.0,10610.0,10510.0,,17230.0,17930.0,18080.0,215.0,11980.0
2017-04-08,197.0,,13460.0,17030.0,11010.0,10610.0,10510.0,,17230.0,17930.0,18080.0,215.0,11980.0
2017-04-09,197.0,,13460.0,17030.0,11010.0,10610.0,10510.0,,17230.0,17930.0,18080.0,215.0,11980.0
2017-04-10,197.0,,13460.0,17030.0,11010.0,10610.0,10510.0,,17230.0,17930.0,18080.0,215.0,11980.0
2017-04-11,197.0,,13460.0,17030.0,11010.0,10610.0,10510.0,,17230.0,17930.0,18080.0,215.0,11980.0
2017-04-12,197.0,,13460.0,17030.0,11010.0,10610.0,10510.0,,17230.0,17930.0,18080.0,215.0,11980.0
2017-04-13,197.0,,13460.0,17030.0,11010.0,10610.0,10510.0,,17230.0,17930.0,18080.0,215.0,11980.0
2017-04-14,197.0,,13460.0,17030.0,11010.0,10610.0,10510.0,,17230.0,17930.0,18080.0,215.0,11980.0
2017-04-15,197.0,,13460.0,17030.0,11010.0,10610.0,10510.0,,17230.0,17930.0,18080.0,215.0,11980.0
2017-04-16,197.0,,13460.0,17030.0,11010.0,10610.0,10510.0,,17230.0,17930.0,18080.0,215.0,11980.0
2017-04-17,197.0,,13460.0,17030.0,11010.0,10610.0,10510.0,,17230.0,17930.0,18080.0,215.0,11980.0
2017-04-18,197.0,,13460.0,17030.0,11010.0,10610.0,10510.0,,17230.0,17930.0,18080.0,215.0,11980.0
2017-04-19,197.0,,13460.0,17030.0,11010.0,10610.0,10510.0,,17230.0,17930.0,18080.0,215.0,11980.0
2017-04-20,197.0,,13810.0,17380.0,11360.0,10960.0,10860.0,,17580.0,18280.0,18430.0,215.0,12330.0
2017-04-21,197.0,,13810.0,17380.0,11360.0,10960.0,10860.0,,17580.0,18280.0,18430.0,215.0,12330.0
2017-04-22,197.0,,13810.0,17380.0,11360.0,10960.0,10860.0,,17580.0,18280.0,18430.0,215.0,12330.0
2017-04-23,197.0,,13810.0,17380.0,11360.0,10960.0,10860.0,,17580.0,18280.0,18430.0,215.0,12330.0
2017-04-24,197.0,,13810.0,17380.0,11360.0,10960.0,10860.0,,17580.0,18280.0,18430.0,215.0,12330.0
2017-04-25,197.0,,13810.0,17380.0,11360.0,10960.0,10860.0,,17580.0,18280.0,18430.0,215.0,12330.0
2017-04-26,197.0,,13810.0,17380.0,11360.0,10960.0,10860.0,,17580.0,18280.0,18430.0,215.0,12330.0
2017-04-27,197.0,,13810.0,17380.0,11360.0,10960.0,10860.0,,17580.0,18280.0,18430.0,215.0,12330.0
2017-04-28,197.0,,13810.0,17380.0,11360.0,10960.0,10860.0,,17580.0,18280.0,18430.0,215.0,12330.0
2017-04-29,197.0,,13810.0,17380.0,11360.0,10960.0,10860.0,,17580.0,18280.0,18430.0,215.0,12330.0
2017-04-30,197.0,,13810.0,17380.0,11360.0,10960.0,10860.0,,17580.0,18280.0,18430.0,215.0,12330.0
2017-05-01,197.0,,13810.0,17380.0,11360.0,10960.0,10860.0,,17580.0,18280.0,18430.0,215.0,12330.0
2017-05-02,197.0,,13810.0,17380.0,11360.0,10960.0,10860.0,,17580.0,18280.0,18430.0,215.0,12330.0
2017-05-03,197.0,,13810.0,17380.0,11360.0,10960.0,10860.0,,17580.0,18280.0,18430.0,215.0,12330.0
2017-05-04,197.0,,13810.0,17380.0,11360.0,10960.0,10860.0,,17580.0,18280.0,18430.0,215.0,12330.0
2017-05-05,197.0,,13600.0,17060.0,11050.0,10900.0,10800.0,,17270.0,17970.0,18120.0,215.0,12050.0
2017-05-06,197.0,,13600.0,17060.0,11050.0,10900.0,10800.0,,17270.0,17970.0,18120.0,215.0,12050.0
2017-05-07,197.0,,13600.0,17060.0,11050.0,10900.0,10800.0,,17270.0,17970.0,18120.0,215.0,12050.0
2017-05-08,197.0,,13600.0,17060.0,11050.0,10900.0,10800.0,,17270.0,17970.0,18120.0,215.0,12050.0
2017-05-09,197.0,,13600.0,17060.0,11050.0,10900.0,10800.0,,17270.0,17970.0,18120.0,215.0,12050.0
2017-05-10,197.0,,13600.0,17060.0,11050.0,10900.0,10800.0,,17270.0,17970.0,18120.0,215.0,12050.0
2017-05-11,197.0,,13600.0,17060.0,11050.0,10900.0,10800.0,,17270.0,17970.0,18120.0,215.0,12050.0
2017-05-12,197.0,,13600.0,17060.0,11050.0,10900.0,10800.0,,17270.0,17970.0,18120.0,215.0,12050.0
2017-05-13,197.0,,13600.0,17060.0,11050.0,10900.0,10800.0,,17270.0,17970.0,18120.0,215.0,12050.0
2017-05-14,197.0,,13600.0,17060.0,11050.0,10900.0,10800.0,,17270.0,17970.0,18120.0,215.0,12050.0
2017-05-15,197.0,,13600.0,17060.0,11050.0,10900.0,10800.0,,17270.0,17970.0,18120.0,215.0,12050.0
2017-05-16,197.0,,13600.0,17060.0,11050.0,10900.0,10800.0,,17270.0,17970.0,18120.0,215.0,12050.0
2017-05-17,197.0,,13600.0,17060.0,11050.0,10900.0,10800.0,,17270.0,17970.0,18120.0,215.0,12050.0
2017-05-18,197.0,,13600.0,17060.0,11050.0,10900.0,10800.0,,17270.0,17970.0,18120.0,215.0,12050.0
2017-05-19,197.0,,13600.0,17060.0,11050.0,10900.0,10800.0,,17270.0,17970.0,18120.0,215.0,12050.0
2017-05-20,197.0,,13260.0,16870.0,11040.0,10890.0,10790.0,,17060.0,17760.0,17910.0,215.0,11790.0
2017-05-21,197.0,,13260.0,16870.0,11040.0,10890.0,10790.0,,17060.0,17760.0,17910.0,215.0,11790.0
2017-05-22,197.0,,13260.0,16870.0,11040.0,10890.0,10790.0,,17060.0,17760.0,17910.0,215.0,11790.0
2017-05-23,197.0,,13260.0,16870.0,11040.0,10890.0,10790.0,,17060.0,17760.0,17910.0,215.0,11790.0
2017-05-24,197.0,,13260.0,16870.0,11040.0,10890.0,10790.0,,17060.0,17760.0,17910.0,215.0,11790.0
2017-05-25,197.0,,13260.0,16870.0,11040.0,10890.0,10790.0,,17060.0,17760.0,17910.0,215.0,11790.0
2017-05-26,197.0,,13260.0,16870.0,11040.0,10890.0,10790.0,,17060.0,17760.0,17910.0,215.0,11790.0
