ngay_ky,mat_hang,don_vi,vung1,vung2
2018-05-23,"Điêzen 0,001S-V (DO 0,001S-V)",Đồng/lít,17740,18090
2018-05-23,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,17690,18040
2018-06-07,Brent,$97.97,197,205
2018-06-07,Dầu hỏa,Đồng/lít,16440,16760
2018-06-07,"Mazút No2B (3,0S)",Đồng/kg,14580,14870
2018-06-07,"Mazút No2B (3,5S)",Đồng/kg,14430,14430
2018-06-07,Mazút No3 (380),Đồng/kg,14330,14610
2018-06-07,WTI,$95.91,215,229
2018-06-07,"Xăng RON 95-II,III",Đồng/lít,21510,21940
2018-06-07,Xăng RON 95-IV,Đồng/lít,21710,22140
2018-06-07,Xăng sinh học E5 RON 92-II,Đồng/lít,19940,20330
2018-06-07,"Điêzen 0,001S-V (DO 0,001S-V)",Đồng/lít,17740,18090
2018-06-07,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,17690,18040
2018-06-22,Dầu hỏa,Đồng/lít,16050,16370
2018-06-22,"Mazút No2B (3,0S)",Đồng/kg,14580,14870
2018-06-22,"Mazút No2B (3,5S)",Đồng/kg,14430,14430
2018-06-22,Mazút No3 (380),Đồng/kg,14330,14610
2018-06-22,"Xăng RON 95-II,III",Đồng/lít,21170,21590
2018-06-22,Xăng RON 95-IV,Đồng/lít,21370,21790
2018-06-22,Xăng sinh học E5 RON 92-II,Đồng/lít,19610,20000
2018-06-22,"Điêzen 0,001S-V (DO 0,001S-V)",Đồng/lít,17510,17860
2018-06-22,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,17460,17800
2018-07-07,Brent,$97.97,197,205
2018-07-07,Dầu hỏa,Đồng/lít,16240,16560
2018-07-07,"Mazút No2B (3,0S)",Đồng/kg,14900,15190
2018-07-07,"Mazút No2B (3,5S)",Đồng/kg,14750,14750
2018-07-07,Mazút No3 (380),Đồng/kg,14650,14940
2018-07-07,WTI,$95.91,215,229
2018-07-07,"Xăng RON 95-II,III",Đồng/lít,21170,21590
2018-07-07,Xăng RON 95-IV,Đồng/lít,21370,21790
2018-07-07,Xăng sinh học E5 RON 92-II,Đồng/lít,19610,20000
2018-07-07,"Điêzen 0,001S-V (DO 0,001S-V)",Đồng/lít,17500,17850
2018-07-07,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,17450,17790
2018-07-23,Dầu hỏa,Đồng/lít,16170,16490
2018-07-23,"Mazút No2B (3,0S)",Đồng/kg,14900,15190
2018-07-23,"Mazút No2B (3,5S)",Đồng/kg,14750,14750
2018-07-23,Mazút No3 (380),Đồng/kg,14650,14940
2018-07-23,"Xăng RON 95-II,III",Đồng/lít,21170,21590
2018-07-23,Xăng RON 95-IV,Đồng/lít,21370,21790
2018-07-23,Xăng sinh học E5 RON 92-II,Đồng/lít,19610,20000
2018-07-23,"Điêzen 0,001S-V (DO 0,001S-V)",Đồng/lít,17290,17630
